;code;label;lon;lat;elevation;country_code;canton_code;type
0;DAV2;Bärentälli;9.8194108372;46.6988884749;2558.0;CH;GR;SNOW_FLAT
1;VSC1;Piz San Jon Dadaint;10.3391321077;46.7532597113;3092.0;CH;GR;WIND
2;MUT2;Mutten;9.0174835389;46.8587579889;2481.0;CH;GL;SNOW_FLAT
3;TUM2;Val Miez;9.0214677369;46.7810661513;2191.0;CH;GR;SNOW_FLAT
4;GLA2;Guppen;9.0375823269;46.9966288477;1632.0;CH;GL;SNOW_FLAT
5;GAN2;Gandegg;7.7606058532;46.4292605185;2710.0;CH;VS;SNOW_FLAT
6;GOR2;Gornergratsee;7.7835986582;45.987191604;2953.0;CH;VS;SNOW_FLAT
7;GOM1;Chummehorn;8.242043709;46.4214595345;2728.0;CH;VS;WIND
8;ILI1;Pointe des Mossettes;6.8162127612;46.1905725965;2276.0;CH;VS;WIND
9;VAL2;Vallascia;8.6137900109;46.5490383567;2268.0;CH;TI;SNOW_FLAT
10;BEL2;Belalp;7.9741748172;46.3948462315;2554.0;CH;VS;SNOW_FLAT
11;TAM3;Schaftäli;9.4581666399;46.8909840671;2166.0;CH;SG;SNOW_FLAT
12;ILI2;Les Collines;6.8277969399;46.1913556421;2022.0;CH;VS;SNOW_FLAT
13;MAN1;Männlichen;7.9380665942;46.6181151828;2341.0;CH;BE;WIND
14;GOS2;Rientallücke;8.6317718837;46.6732650302;2325.0;CH;UR;SNOW_FLAT
15;ROT3;Plang Bi;9.6043854696;46.73311604;2495.0;CH;GR;SNOW_FLAT
16;FUL2;Grand Cor;7.089660915;46.1946840247;2602.0;CH;VS;SNOW_FLAT
17;ADE3;Lavey-Sattligrat;7.4901379524;46.4755274076;2355.0;CH;BE;FLOWCAPT
18;FRA2;Efra;8.8531771044;46.3382366776;2100.0;CH;TI;SNOW_FLAT
19;SMN2;Ravaischer Salaas;10.3383398808;46.9563799569;2512.0;CH;GR;SNOW_FLAT
20;BER1;Lagalb;10.0236433016;46.4314809644;2956.0;CH;GR;WIND
21;VLS2;Alp Calasa;9.2052412263;46.674410774;2064.0;CH;GR;SNOW_FLAT
22;HIN1;Hinterrugg;9.3048184085;47.1533304738;2306.0;CH;SG;WIND
23;KLO1;Sant Jaggem;9.8684912152;46.9208110854;2542.0;CH;GR;WIND
24;NEN3;Combatzeline;7.3352965551;46.1431837197;2203.0;CH;VS;SNOW_FLAT
25;ARO1;La Cassorte;7.4352901353;46.0353666322;3300.0;CH;VS;WIND
26;ADE2;Engstligenalp;7.5826331479;46.4343654484;2304.0;CH;BE;SNOW_FLAT
27;GRA2;Loz;6.7835498034;46.3460619908;1984.0;CH;VS;SNOW_FLAT
28;CAM2;Fontane;8.7174724568;46.4657248139;2216.0;CH;TI;SNOW_FLAT
29;PLD2;Primelod;7.2506226655;46.4263551027;2050.0;CH;BE;FLOWCAPT
30;SCH2;Türliboden;7.8347322559;46.5769159849;2332.0;CH;BE;SNOW_FLAT
31;KES1;Piz Val Müra;9.9006646574;46.6282585244;3152.0;CH;GR;WIND
32;LUM2;Lumpegna Süd;8.86169;46.73118;2365.0;CH;GR;SNOW_SLOPE
33;LAU1;Lauenehore;7.3545037887;46.4402079652;2476.0;CH;BE;WIND
34;FRA3;Costa;8.8181148693;46.3519577648;2170.0;CH;TI;FLOWCAPT
35;KLT4;Schiiterböden;8.9865970547;47.0472075708;1745.0;CH;GL;SNOW_FLAT
36;JUL2;Vairana;9.6923110222;46.4784967542;2426.0;CH;GR;SNOW_FLAT
37;JUL1;Piz Bardella;9.7028930374;46.4823359001;2838.0;CH;GR;WIND
38;OFE1;Piz Dora;10.3061266469;46.6050556165;2949.0;CH;GR;WIND
39;ROA2;Rotschalp;7.9939410504;46.7743190257;1875.0;CH;BE;SNOW_FLAT
40;TIT2;Titlisboden;8.4094821255;46.7860094143;2149.0;CH;OW;SNOW_FLAT
41;CON2;Etang de Trente Pas;7.2742084386;46.2897391354;2229.0;CH;VS;SNOW_FLAT
42;GOM2;Bodmerchumma;8.2324938175;46.4204561981;2439.0;CH;VS;SNOW_FLAT
43;STN2;Oberer Stelligletscher;7.7505585279;46.1678110194;2914.0;CH;VS;SNOW_FLAT
44;CMA2;La Fuorcla;9.1834549366;46.8468715389;2325.0;CH;GR;SNOW_FLAT
45;LAU2;Trüttlisbergpass;7.3798673829;46.4260290609;1970.0;CH;BE;SNOW_FLAT
46;FOU1;Le Portalet;7.0560007066;45.9915074932;3344.0;CH;VS;WIND
47;ROA1;Brienzer Rothorn;8.0469171504;46.7871200871;2348.0;CH;BE;WIND
48;AMD2;Bärenfall;9.1468825807;47.1708370848;1610.0;CH;SG;SNOW_FLAT
49;KLO3;Gatschiefer;9.9316718171;46.8412707968;2299.0;CH;GR;SNOW_FLAT
50;BOR2;Bortelsee;8.1093018432;46.2905306886;2517.0;CH;VS;SNOW_FLAT
51;OBW2;Jostsee;8.3159555287;46.5452213932;2432.0;CH;VS;SNOW_FLAT
52;LAG1;Lagrev;9.7330822954;46.4488905891;3085.0;CH;GR;WIND
53;JAU1;Chörblispitz;7.2689498572;46.6296849558;2103.0;CH;FR;WIND
54;DTR2;Preda;8.8690602761;46.5428657406;2057.0;CH;TI;SNOW_FLAT
55;GUT1;Bänzlauistock;8.2779761225;46.6925215843;2528.0;CH;BE;WIND
56;SHE2;Schibe;7.8124493033;46.7488254166;1852.0;CH;BE;SNOW_FLAT
57;VIN2;Alpetta;10.4428462856;46.9317665432;2729.0;CH;GR;SNOW_FLAT
58;FLU2;Flüelapass;9.9464445628;46.7527116321;2394.0;CH;GR;SNOW_FLAT
59;MAE2;Itramen;7.9435417948;46.6186487992;2162.0;CH;BE;SNOW_FLAT
60;VSC2;Trigl;10.3529058304;46.7488219219;2914.0;CH;GR;SNOW_FLAT
61;DAV3;Hanengretji;9.7739900127;46.7888326157;2455.0;CH;GR;SNOW_FLAT
62;OBW1;Sidelhorn;8.3084154499;46.5498493386;2733.0;CH;VS;WIND
63;NAR1;Motto Crostel;8.8669171273;46.4651037066;2299.0;CH;TI;WIND
64;KES2;Porta d'Es-cha;9.8981393038;46.6212841261;2727.0;CH;GR;SNOW_FLAT
65;SCB2;Schönbüel;8.1034380926;46.7793748858;1777.0;CH;OW;SNOW_FLAT
66;ZER1;Platthorn;7.7363289398;46.0536592487;3345.0;CH;VS;WIND
67;SPN2;Ze Seewe;8.1176235529;46.2294435858;2620.0;CH;VS;SNOW_FLAT
68;TUJ3;Nual;8.7402231419;46.6470311966;2211.0;CH;GR;SNOW_FLAT
69;FAE1;Albristhorn;7.4893374776;46.497117227;2761.0;CH;BE;WIND
70;RNZ2;Rienzenstock;8.6267884553;46.6855703669;2400.0;CH;UR;SNOW_FLAT
71;BED3;Cassinello;8.5219136101;46.4911587325;2101.0;CH;TI;SNOW_FLAT
72;KLT1;Wiggis;9.0253846148;47.065309518;2282.0;CH;GL;WIND
73;ZER2;Triftchumme;7.7274051006;46.0421771157;2752.0;CH;VS;SNOW_FLAT
74;BER2;Motta Bianca;10.0292011292;46.4205714525;2447.0;CH;GR;SNOW_FLAT
75;MUN1;Gärsthorn;7.9167006162;46.3438267916;2926.0;CH;VS;WIND
76;NAS2;Schlivèra;10.2553208865;46.8150378313;2350.0;CH;GR;SNOW_FLAT
77;TAM1;Wildseehorn;9.3997496729;46.967421721;2689.0;CH;SG;WIND
78;VIA2;Teststation Viano;10.16702;46.26169;2355.0;CH;GR;SNOW_FLAT
79;ELS2;Elsige;7.6416414505;46.5296024413;2143.0;CH;BE;SNOW_FLAT
80;BEV1;Cho d'Valetta;9.853533826;46.548854462;2490.0;CH;GR;WIND
81;VAL1;Löita;8.6108477303;46.5492576511;2450.0;CH;TI;WIND
82;ELM2;Chüebodensee;9.1365005833;46.9356087844;2058.0;CH;GL;SNOW_FLAT
83;BED1;Lucendro;8.5194658263;46.5388902709;2963.0;CH;TI;WIND
84;FNH2;L'Ecreuleuse;6.9641039266;46.1007594713;2252.0;CH;VS;SNOW_FLAT
85;ELA1;Piz Salteras;9.7082343997;46.5815284657;3110.0;CH;GR;WIND
86;GOM3;Treichbode;8.2285501986;46.4891417719;2427.0;CH;VS;SNOW_FLAT
87;CHA2;Pierres Fendues;7.1639864128;46.3769622463;2218.0;CH;VD;SNOW_FLAT
88;TAM2;Wildsee;9.3909247472;46.9683642525;2468.0;CH;SG;SNOW_FLAT
89;VIN1;Piz Alpetta;10.4493155571;46.9287879872;2975.0;CH;GR;WIND
90;NEN1;Creppon Blanc;7.3540228301;46.1431275142;2713.0;CH;VS;WIND
91;GAN1;Sackhorn;7.7662498371;46.4396794099;3193.0;CH;VS;WIND
92;LAG3;Materdell;9.6977723914;46.4245268915;2300.0;CH;GR;SNOW_FLAT
93;FAE2;Färmel;7.4952491757;46.520413095;1971.0;CH;BE;SNOW_FLAT
94;BOV2;Pointe de Toules;7.2372065768;45.9847921513;2687.0;CH;VS;SNOW_FLAT
95;VDS2;Donin du Jour;7.3675047729;46.3215106638;2385.0;CH;VS;SNOW_FLAT
96;SAA1;Platthorn;7.8612731182;46.1663450812;3245.0;CH;VS;WIND
97;MUO1;Wasserbergfirst;8.7868534714;46.9393497859;2325.0;CH;SZ;WIND
98;ELA3;Muot;9.7697879551;46.6030343655;2306.0;CH;GR;FLOWCAPT
99;OBW3;Mällige;8.3544780372;46.5078623461;2194.0;CH;VS;SNOW_FLAT
100;HTR1;Chilchalphorn;9.1541443427;46.5333514423;3040.0;CH;GR;WIND
101;KLO2;Madrisa;9.8738587175;46.909114564;2147.0;CH;GR;SNOW_FLAT
102;ZNZ1;Sarsura Pitschen;9.9976221513;46.7042518299;3133.0;CH;GR;WIND
103;SPN3;Wenghorn;8.0451749053;46.1780120907;2424.0;CH;VS;SNOW_FLAT
104;TRU1;Schwarzhorn;7.570579072;46.3834467189;3088.0;CH;VS;WIND
105;YBR2;Wanne;8.8254164392;47.0354580174;1701.0;CH;SZ;SNOW_FLAT
106;OFE2;Murtaröl;10.2890514554;46.6317061515;2359.0;CH;GR;SNOW_FLAT
107;TUJ2;Culmatsch;8.7237506951;46.6838798567;2262.0;CH;GR;SNOW_FLAT
108;URS2;Giltnasen;8.5138591825;46.5867864305;2169.0;CH;UR;SNOW_FLAT
109;PAR2;Kreuzweg;9.804844476;46.8517245212;2290.0;CH;GR;SNOW_FLAT
110;BOG1;Martschenspitz;8.4600455064;46.3282673586;2688.0;CH;TI;WIND
111;FUS2;Alpe di Röd;8.6204462634;46.4364214753;2390.0;CH;TI;SNOW_FLAT
112;SWM1;Schwarzmönch;7.9275415603;46.5513674314;2673.0;CH;BE;WIND
113;SAA2;Seetal;7.8793527279;46.1718354106;2480.0;CH;VS;SNOW_FLAT
114;BOG3;Pizzo Bombögn;8.4909814117;46.3062217779;2179.0;CH;TI;SNOW_SLOPE
115;AMD1;Mattstock;9.1355924024;47.1696906605;1932.0;CH;SG;WIND
116;SIM2;Piano del Simano;8.9808234641;46.4674553164;2450.0;CH;TI;SNOW_FLAT
117;WFJ2;Weissfluhjoch;9.8092889157;46.8296377828;2536.0;CH;GR;SNOW_FLAT
118;GUT2;Homad;8.2896913397;46.679309577;2115.0;CH;BE;SNOW_FLAT
119;SCA2;Seewli;8.7173428174;46.8129546327;2032.0;CH;UR;SNOW_FLAT
120;ELS1;Elsighorn;7.6396400099;46.5346885101;2340.0;CH;BE;WIND
121;HTR3;Unter Surettasee;9.3485265731;46.5365498146;2200.0;CH;GR;SNOW_FLAT
122;PUZ2;Ils Plauns;8.8624548373;46.6263513736;2196.0;CH;GR;SNOW_FLAT
123;FUL1;Grand Chavalard;7.1130347864;46.1786788154;2899.0;CH;VS;WIND
124;ANV3;Tracuit;7.6564012963;46.121164226;2589.0;CH;VS;SNOW_FLAT
125;ARO2;Les Fontanesses;7.4458545197;46.0287818566;2847.0;CH;VS;SNOW_FLAT
126;VLS1;Piz Aul;9.1250666847;46.6228004828;3121.0;CH;GR;WIND
127;SCH1;Schilthorn;7.8352019342;46.5573127411;2996.0;CH;BE;WIND
128;SAA4;Gibidum;7.9055305441;46.1244668489;2680.0;CH;VS;SNOW_FLAT
129;CAM1;Tremorgio;8.7003813654;46.4826950381;2668.0;CH;TI;WIND
130;MLB2;Bärgtälli;9.6117701433;47.088468281;1974.0;LI;FL;SNOW_FLAT
131;STH1;Stockhorn;7.538570697;46.6938628906;2190.0;CH;BE;WIND
132;DIA2;Tsanfleuron;7.241038066;46.3154043248;2569.0;CH;VD;SNOW_FLAT
133;TUM1;Piz Tumpiv;8.9922687513;46.7849760464;3041.0;CH;GR;WIND
134;ANV2;Orzival;7.5353719326;46.1882770501;2640.0;CH;VS;SNOW_FLAT
135;ENG2;Fitteren;9.1894476808;46.992781719;2162.0;CH;GL;SNOW_FLAT
136;JAU2;Fochsen;7.274541453;46.6330485439;1707.0;CH;FR;SNOW_FLAT
137;VDS1;Crêta Besse;7.3522749518;46.3051908681;2696.0;CH;VS;WIND
138;STH2;Vorderstocken;7.5196488888;46.6820486806;1791.0;CH;BE;SNOW_FLAT
139;CSL2;Col du Chasseral;7.0313366437;47.1163154815;1455.0;CH;BE;SNOW_FLAT
140;ALI2;Chenau;6.9932975733;46.4886315485;1708.0;CH;FR;SNOW_FLAT
141;CAM3;Solco;8.7088833554;46.4875754979;2257.0;CH;TI;SNOW_SLOPE
142;PUZ1;La Muota;8.8568107945;46.6232728496;2425.0;CH;GR;WIND
143;KLT3;Ruoggis, Unter Stafel;8.96921;47.03062;1258.0;CH;GL;SNOW_FLAT
144;BER3;Puoz Bass;9.9158896865;46.4409149517;2625.0;CH;GR;SNOW_FLAT
145;LHO2;Russisprung;7.9437424189;46.5827908771;2150.0;CH;BE;SNOW_FLAT
146;VRG3;Porcaresc;8.4749541898;46.2403989608;2038.0;CH;TI;SNOW_FLAT
147;MUN2;Chiematte;7.9252033983;46.3330676419;2205.0;CH;VS;SNOW_FLAT
148;LAG2;Tscheppa;9.7445797657;46.4513573465;2730.0;CH;GR;SNOW_FLAT
149;ALI1;Vanil des Artses;6.9872816394;46.4822477344;1989.0;CH;FR;WIND
150;BOV1;Pointe de Boveire;7.2398808481;45.9945210176;3211.0;CH;VS;WIND
151;BEV2;Valetta;9.8370901184;46.5395638312;2512.0;CH;GR;SNOW_FLAT
152;LUM3;Lumpegna Nord;8.86257;46.73228;2355.0;CH;GR;SNOW_SLOPE
153;ARO3;Bréona;7.5620595173;46.0874200118;2602.0;CH;VS;SNOW_FLAT
154;ELM1;Mittler Blistock;9.1205691901;46.9314712074;2447.0;CH;GL;WIND
155;DAV4;Frauentobel;9.7847022813;46.7841942807;2330.0;CH;GR;FLOWCAPT
156;MES2;Pian Grand;9.1602965296;46.4140106135;2384.0;CH;GR;SNOW_FLAT
157;GRA1;Jumelles;6.8136286498;46.3522505663;2210.0;CH;VS;WIND
158;GOS3;Gütsch;8.6069666032;46.656419602;2209.0;CH;UR;SNOW_FLAT
159;GAD2;Gschletteregg;8.3974880425;46.7441889175;2063.0;CH;BE;SNOW_FLAT
160;DAV1;Chrachenhorn;9.8143102025;46.688510327;2890.0;CH;GR;WIND
161;DTR1;Costa;8.8660941256;46.5480673487;2388.0;CH;TI;WIND
162;SPN1;Chesselhorn;8.0813786697;46.2182755158;2980.0;CH;VS;WIND
163;LUK2;Lai Verd;8.783521203;46.6041530083;2555.0;CH;GR;SNOW_FLAT
164;SCA3;Alpler Tor;8.7795393745;46.8915380517;2338.0;CH;UR;SNOW_FLAT
165;MEI2;Laucheren;8.5510141702;46.7437676834;2220.0;CH;UR;SNOW_FLAT
166;BOG2;Hendar Furggu;8.4716178803;46.3338031644;2299.0;CH;TI;SNOW_FLAT
167;MUO2;Rupperslaui;8.7456210131;46.9382173093;2083.0;CH;SZ;SNOW_FLAT
168;RNZ3;Rienzenstock;8.625968;46.684788;2390.0;CH;UR;SNOW_FLAT
169;FOU2;Glacier de l'Evole;7.067234126;45.9717551031;2800.0;CH;VS;SNOW_FLAT
170;FIS2;Fisi;7.6738830911;46.4714646325;2155.0;CH;BE;SNOW_FLAT
171;SIM1;Cima del Simano;8.971946227;46.4625100549;2579.0;CH;TI;WIND
172;FIR2;Schmidigen-Bidmeren;8.0644030712;46.668776692;2111.0;CH;BE;SNOW_FLAT
173;ENG1;Gulderstock;9.2015829672;46.993126583;2510.0;CH;GL;WIND
174;ALB2;Teststation Albula;9.8362238704;46.5809452447;2322.0;CH;GR;SNOW_FLAT
175;LAV1;Gonda Cotschna;10.1123281211;46.7843261822;2405.0;CH;GR;FLOWCAPT
176;BED4;Sabbioni;8.496417664;46.5256303769;2305.0;CH;TI;SNOW_FLAT
177;LUK1;Piz Gannaretsch;8.7865471942;46.6119085207;3040.0;CH;GR;WIND
178;OTT2;Ottere;7.5616365285;46.5397016993;2017.0;CH;BE;SNOW_FLAT
179;NAR2;Bassa di Nara;8.8686355598;46.4729905441;2077.0;CH;TI;SNOW_FLAT
180;ANV1;Corne de Sorebois;7.5866645685;46.1507642468;2895.0;CH;VS;WIND
181;MUT1;Ruchi;9.0450796939;46.863574033;3103.0;CH;GL;WIND
182;BIN4;Schapleralpa;8.2089905908;46.3482268322;2354.0;CH;VS;SNOW_FLAT
183;ELA2;Tschitta;9.714693958;46.5914246875;2726.0;CH;GR;SNOW_FLAT
184;URS1;Gross Schijen;8.6383104894;46.6681313349;2784.0;CH;UR;WIND
185;SAA5;Mälliga;7.9813854913;46.1274832422;2952.0;CH;VS;SNOW_FLAT
186;TUJ1;Crispalt;8.694490284;46.6837291216;3028.0;CH;GR;WIND
187;MES1;Piz Pian Grand;9.1556970675;46.4174815167;2688.0;CH;GR;WIND
188;SCA1;Gross Windgällen;8.7321316095;46.8072552914;3187.0;CH;UR;WIND
189;SLF2;Davos Stilli (SLF);9.8482647161;46.8127671605;1563.0;CH;GR;SNOW_FLAT
190;CHA1;La Para;7.1524524668;46.3828977375;2540.0;CH;VD;WIND
191;MTR2;Predanass;8.917591252;46.4087259824;1884.0;CH;TI;SNOW_FLAT
192;FNH1;Le Luisin;6.9699710885;46.120718532;2785.0;CH;VS;WIND
193;EGH2;Flesch;8.0917150997;46.4168105095;2500.0;CH;VS;SNOW_FLAT
194;ORT2;Ortstock Matt;8.9585495408;46.9180816426;1824.0;CH;GL;SNOW_FLAT
195;TRU2;Trubelboden;7.5855719555;46.3709514336;2459.0;CH;VS;SNOW_FLAT
196;ATT2;Lac des Vaux;7.2699181277;46.1052869814;2550.0;CH;VS;SNOW_FLAT
197;ZNZ2;Pülschezza;10.018844256;46.6977161659;2677.0;CH;GR;SNOW_FLAT
198;OBM2;Obere Meiel;7.2143855539;46.4217730982;2097.0;CH;BE;SNOW_FLAT
199;MLB1;Spitz;9.6239926506;47.0867605724;2186.0;LI;FL;WIND
200;ZER4;Stafelalp;7.7023907351;45.9979893991;2408.0;CH;VS;SNOW_FLAT
201;HTR2;Alp Piänetsch;9.2043350473;46.5443790013;2147.0;CH;GR;SNOW_FLAT
202;PMA2;Colms da Parsonz;9.5373872088;46.5800758554;2429.0;CH;GR;SNOW_FLAT
203;DAV6;Luksch Alp;9.8912630265;46.7825936431;2290.0;CH;GR;SNOW_FLAT
